target_ts_nanos,game_latency_ms,composite_latency_ms,encode_latency_ms,decode_latency_ms,network_latency_ms,decoder_queue_latency_ms,rendering_latency_ms,vsync_queue_latency_ms,total_MTP_latency_ms,enconded_frame_size_bytes,server_framerate_fps,client_framerate_fps,sending_bitrate_mbps,recving_bitrate_mbps,C,C_effective,gaze_variance_magnitude,fixation_confidence,experiment_target_timestamp
9668807005010,2.6304,1.6549001,5.3875,5.421042,2.735118,15.40995,1.7685419,33.70632,68.713776,2217,69.93202,71.83356,,,80,65,35.60025908409578,0.026403893,20260313_175203
9668820869961,1.7993,1.717,5.0637,5.210522,2.972344,16.1737,2.162657,33.66248,68.7617,2769,71.02626,71.788795,,,80,65,35.04486632135647,0.026316661,20260313_175203
9668834758374,0.3403,1.6878,6.8919,4.6268764,6.3095837,13.180418,1.7706771,33.907814,68.71537,4781,70.088875,71.853745,,,80,65,34.57841474693184,0.027016066,20260313_175203
9668848612557,2.6576,2.2259002,4.5948,5.159636,2.6679509,15.305679,2.022136,34.20096,68.83466,1370,73.72837,71.68714,,,80,65,33.67200085507086,0.027743204,20260313_175203
9668862509027,2.1352,2.1059,4.9862,5.2875,4.01166,14.228334,2.15974,33.850216,68.764755,1742,75.10665,71.97679,,,80,65,32.92038627876306,0.02810693,20260313_175203
9668876342432,2.8834,2.9837,7.3536,4.822813,2.519145,12.423439,2.152031,33.74872,68.88685,5115,71.85353,71.67861,,,80,65,32.231429587719035,0.028841715,20260313_175203
9668890309243,1.6602999,1.6436999,4.9987,4.666979,3.356989,16.486303,2.456615,33.401394,68.670975,3053,70.40419,71.798965,,,80,65,29.733915565200927,0.029301746,20260313_175203
9668904071971,2.0565,1.742,5.1954,4.740573,2.836622,16.627033,2.1891148,33.571915,68.95916,4371,73.51049,71.84014,,,80,65,27.016353749299686,0.029868653,20260313_175203
9668917979280,1.658,1.6989,5.0842,5.381511,3.864318,15.076511,1.995781,34.18553,68.944756,1907,68.19701,71.83358,,,80,65,24.5644999312457,0.03166874,20260313_175203
9668931833701,2.0169,2.0393999,5.3663,4.605729,2.4650578,16.440315,2.578646,33.44923,68.96158,3449,74.66977,71.81382,,,80,65,23.645463267390106,0.03448006,20260313_175203
9668945830233,2.5988,1.9453,4.9045,4.908802,4.46411,14.021356,1.9659901,34.05503,68.86389,4418,73.751755,71.83895,,,80,65,22.650284038237437,0.039116744,20260313_175203
9668959555069,2.5593,3.3231,4.8321996,4.913386,2.28863,15.13297,2.48323,33.47452,69.00734,2333,72.43962,71.83042,,,80,65,21.45132306423655,0.04057542,20260313_175203
9668973433450,1.7055,1.9461,5.0663,5.079324,4.8688197,14.582189,1.777864,34.079174,69.10528,4538,72.467445,71.84596,,,80,65,20.56319339795845,0.04169052,20260313_175203
9668987284949,2.2128,1.6344,5.173,5.170417,2.5774581,16.47573,2.69224,33.239674,69.17572,1588,72.190704,71.789246,,,80,65,19.71523581579531,0.04379624,20260313_175203
9669001174553,1.387,1.7863,7.3982,5.1513553,3.631731,14.053751,1.864011,33.915897,69.18825,3163,69.0665,71.84618,,,80,65,18.70408709444027,0.04577097,20260313_175203
9669015016410,2.0298002,2.1993,5.1239,5.221146,2.331533,16.04146,2.044063,34.255688,69.24689,4056,69.563286,71.83156,,,80,65,17.417775562460754,0.04762352,20260313_175203
9669028927158,1.6431,2.3134,4.8819,4.629375,3.7785811,15.776253,2.1069272,34.025127,69.15466,2957,74.69654,71.809456,,,80,65,16.476888802672907,0.04979865,20260313_175203
9669042759855,3.1584,3.6754,6.4581,5.011147,3.780601,11.232293,2.002239,34.003853,69.32204,5080,74.31574,71.84001,,,80,65,16.834296401789164,0.054295372,20260313_175203
9669056676177,2.2394001,1.6253,4.9332,4.951146,3.472466,15.927606,2.653958,33.2773,69.08038,1864,69.302956,71.81992,,,80,65,18.96191305048586,0.057535723,20260313_175203
9669070487102,1.8626,1.7813,6.7349997,5.517032,2.9714131,14.686512,2.156459,33.66577,69.37609,3330,74.82174,71.83086,,,80,65,18.98935806412967,0.056463256,20260313_175203
9669084349909,2.7627,1.7283,5.5363,5.3231773,4.442025,13.643387,1.691927,34.288197,69.41601,1652,68.62382,71.82496,,,80,65,18.80663776620677,0.052837268,20260313_175203
9669098240856,1.6624,1.6791999,6.9545,4.969479,2.784214,15.41573,2.7629688,33.082405,69.310905,1251,73.99241,71.8297,,,80,65,18.636717052417346,0.05002601,20260313_175203
9669112135047,2.2932,2.4039998,5.0613,4.7081246,4.828169,14.257085,1.902083,33.974865,69.428825,4703,74.67814,71.823456,,,80,65,19.365097303848795,0.05048812,20260313_175203
